Symbol,EntryDate,EntryPrice,Quantity,Capital,ExitDate,ExitPrice,PnL,PnL%,DaysHeld,ExitReason,TrackType
FORTIS,2026-06-24,972.1,10,9721.0,2026-07-02,949.05,-230.5,-2.37,8,Both lines flipped bearish — trend reversal,Paper
BANKINDIA,2026-06-24,144.51,69,9971.19,2026-07-07,139.8,-324.99,-3.26,13,Both lines flipped bearish — trend reversal,Paper
PIIND,2026-06-24,2767.0,3,8301.0,2026-07-08,2676.5,-271.5,-3.27,14,Both lines flipped bearish — trend reversal,Paper
TRENT,2026-07-03,3317.8,3,9953.4,2026-07-08,2927.8,-1170.0,-11.75,5,Stop loss hit (2986.02),Paper
LICHSGFIN,2026-06-25,550.55,18,9909.9,2026-07-09,530.6,-359.1,-3.62,14,Both lines flipped bearish — trend reversal,Paper
IOC,2026-07-03,141.62,70,9913.4,2026-07-09,137.63,-279.3,-2.82,6,Both lines flipped bearish — trend reversal,Paper
PETRONET,2026-07-03,275.2,36,9907.2,2026-07-09,271.6,-129.6,-1.31,6,Both lines flipped bearish — trend reversal,Paper
BPCL,2026-07-03,310.45,32,9934.4,2026-07-10,308.2,-72.0,-0.72,7,Both lines flipped bearish — trend reversal,Paper
ITC,2026-06-26,290.0,34,9860.0,2026-07-13,281.75,-280.5,-2.84,17,Both lines flipped bearish — trend reversal,Paper
JIOFIN,2026-07-03,239.73,41,9828.93,2026-07-13,241.96,91.43,0.93,10,Both lines flipped bearish — trend reversal,Paper
PFC,2026-06-25,437.1,22,9616.2,2026-07-14,405.1,-704.0,-7.32,19,Both lines flipped bearish — trend reversal,Paper
RELIANCE,2026-07-03,1303.5,7,9124.5,2026-07-14,1296.9,-46.2,-0.51,11,Both lines flipped bearish — trend reversal,Paper
INOXWIND,2026-07-03,89.96,111,9985.56,2026-07-14,81.09,-984.57,-9.86,11,Both lines flipped bearish — trend reversal,Paper
IREDA,2026-07-03,128.58,77,9900.66,2026-07-14,124.81,-290.29,-2.93,11,Both lines flipped bearish — trend reversal,Paper
BDL,2026-07-03,1384.9,7,9694.3,2026-07-15,1277.8,-749.7,-7.73,12,Both lines flipped bearish — trend reversal,Paper
IEX,2026-07-03,123.5,80,9880.0,2026-07-15,117.07,-514.4,-5.21,12,Both lines flipped bearish — trend reversal,Paper
POWERGRID,2026-06-25,290.9,34,9890.6,2026-07-16,280.7,-346.8,-3.51,21,Both lines flipped bearish — trend reversal,Paper
MFSL,2026-06-26,1611.4,6,9668.4,2026-07-16,1611.6,1.2,0.01,20,Both lines flipped bearish — trend reversal,Paper
HDFCLIFE,2026-07-03,571.35,17,9712.95,2026-07-16,568.75,-44.2,-0.46,13,Both lines flipped bearish — trend reversal,Paper
SIEMENS,2026-07-03,3580.4,2,7160.8,2026-07-16,3510.3,-140.2,-1.96,13,Both lines flipped bearish — trend reversal,Paper
DMART,2026-07-06,3994.4,2,7988.8,2026-07-16,3929.3,-130.2,-1.63,10,Both lines flipped bearish — trend reversal,Paper
KOTAKBANK,2026-06-24,401.65,24,9639.6,2026-07-17,377.15,-588.0,-6.1,23,Both lines flipped bearish — trend reversal,Paper
MOTHERSON,2026-06-26,151.71,65,9861.15,2026-07-17,143.65,-523.9,-5.31,21,Both lines flipped bearish — trend reversal,Paper
LT,2026-07-03,4059.4,2,8118.8,2026-07-17,3775.6,-567.6,-6.99,14,Both lines flipped bearish — trend reversal,Paper
HINDPETRO,2026-07-03,399.55,25,9988.75,2026-07-17,399.4,-3.75,-0.04,14,Both lines flipped bearish — trend reversal,Paper
TIINDIA,2026-07-03,3090.6,3,9271.8,2026-07-17,2939.7,-452.7,-4.88,14,Both lines flipped bearish — trend reversal,Paper
ICICIGI,2026-07-06,1772.8,5,8864.0,2026-07-17,1623.8,-745.0,-8.4,11,Both lines flipped bearish — trend reversal,Paper
JSWENERGY,2026-06-30,586.25,17,9966.25,2026-07-22,566.2,-340.85,-3.42,22,Both lines flipped bearish — trend reversal,Paper
FORCEMOT,2026-07-03,19367.0,1,19367.0,2026-07-23,17418.0,-1949.0,-10.06,20,Stop loss hit (17430.3),Paper
MCX,2026-06-30,2914.5,3,8743.5,2026-07-24,2752.6,-485.7,-5.55,24,Both lines flipped bearish — trend reversal,Paper
BEL,2026-06-30,411.6,24,9878.4,2026-07-24,405.35,-150.0,-1.52,24,Both lines flipped bearish — trend reversal,Paper
MAZDOCK,2026-07-03,2555.0,3,7665.0,2026-07-24,2298.9,-768.3,-10.02,21,Stop loss hit (2299.5),Paper
NAM-INDIA,2026-07-03,1213.2,8,9705.6,2026-07-24,1105.8,-859.2,-8.85,21,Both lines flipped bearish — trend reversal,Paper
HINDUNILVR,2026-06-24,2160.1,4,8640.4,2026-07-27,2145.0,-60.4,-0.7,33,Both lines flipped bearish — trend reversal,Paper
RECLTD,2026-06-24,361.9,27,9771.3,2026-07-27,361.6,-8.1,-0.08,33,Both lines flipped bearish — trend reversal,Paper
BAJAJHLDNG,2026-06-30,10592.0,1,10592.0,2026-07-27,10679.0,87.0,0.82,27,Both lines flipped bearish — trend reversal,Paper
ASHOKLEY,2026-07-03,164.73,60,9883.8,2026-07-27,151.07,-819.6,-8.29,24,Both lines flipped bearish — trend reversal,Paper
COCHINSHIP,2026-07-03,1519.3,6,9115.8,2026-07-27,1392.4,-761.4,-8.35,24,Both lines flipped bearish — trend reversal,Paper
360ONE,2026-07-03,1070.0,9,9630.0,2026-07-27,1102.3,290.7,3.02,24,Both lines flipped bearish — trend reversal,Paper
HDFCAMC,2026-07-06,2800.2,3,8400.6,2026-07-27,2505.7,-883.5,-10.52,21,Stop loss hit (2520.18),Paper
ADANIPORTS,2026-07-22,1844.0,5,9220.0,2026-07-27,1768.3,-378.5,-4.11,5,Both lines flipped bearish — trend reversal,Paper
AUBANK,2026-06-25,1067.2,9,9604.8,2026-07-28,1052.2,-135.0,-1.41,33,Both lines flipped bearish — trend reversal,Paper
MAXHEALTH,2026-06-24,1078.05,9,9702.45,2026-07-29,1114.6,328.95,3.39,35,Both lines flipped bearish — trend reversal,Paper
CHOLAFIN,2026-06-25,1792.9,5,8964.5,2026-07-29,1753.0,-199.5,-2.23,34,Both lines flipped bearish — trend reversal,Paper
HDFCBANK,2026-07-01,797.95,12,9575.4,2026-07-29,735.4,-750.6,-7.84,28,Both lines flipped bearish — trend reversal,Paper
MOTILALOFS,2026-07-01,951.3,10,9513.0,2026-07-29,856.15,-951.5,-10.0,28,Stop loss hit (856.17),Paper
DABUR,2026-07-02,444.75,22,9784.5,2026-07-29,424.6,-443.3,-4.53,27,Both lines flipped bearish — trend reversal,Paper
SHRIRAMFIN,2026-07-03,1066.7,9,9600.3,2026-07-29,1040.9,-232.2,-2.42,26,Both lines flipped bearish — trend reversal,Paper
LTF,2026-07-03,315.25,31,9772.75,2026-07-29,311.0,-131.75,-1.35,26,Both lines flipped bearish — trend reversal,Paper
OBEROIRLTY,2026-07-03,1864.7,5,9323.5,2026-07-29,1829.5,-176.0,-1.89,26,Both lines flipped bearish — trend reversal,Paper
JUBLFOOD,2026-07-06,429.6,23,9880.8,2026-07-29,432.2,59.8,0.61,23,Both lines flipped bearish — trend reversal,Paper
MARUTI,2026-06-24,13451.0,1,13451.0,2026-07-30,13948.0,497.0,3.69,36,Both lines flipped bearish — trend reversal,Paper
DELHIVERY,2026-07-03,509.3,19,9676.7,2026-08-03,481.95,-519.65,-5.37,31,Both lines flipped bearish — trend reversal,Paper
DLF,2026-07-03,658.2,15,9873.0,2026-08-03,659.3,16.5,0.17,31,Both lines flipped bearish — trend reversal,Paper
PRESTIGE,2026-07-03,1674.1,5,8370.5,2026-08-03,1616.2,-289.5,-3.46,31,Both lines flipped bearish — trend reversal,Paper
PNBHOUSING,2026-07-03,1055.6,9,9500.4,2026-08-05,1080.0,219.6,2.31,33,Both lines flipped bearish — trend reversal,Paper
PHOENIXLTD,2026-06-25,1912.3,5,9561.5,2026-08-06,1932.3,100.0,1.05,42,Both lines flipped bearish — trend reversal,Paper
BLUESTARCO,2026-06-24,1661.9,6,9971.4,2026-08-07,1571.0,-545.4,-5.47,44,Both lines flipped bearish — trend reversal,Paper
LICI,2026-07-03,432.1,23,9938.3,2026-08-07,387.55,-1024.65,-10.31,35,Stop loss hit (388.89),Paper
AMBER,2026-07-06,7484.5,1,7484.5,2026-08-07,7425.0,-59.5,-0.79,32,Both lines flipped bearish — trend reversal,Paper
VOLTAS,2026-07-31,1313.3,7,9193.1,2026-08-07,1275.0,-268.1,-2.92,7,Both lines flipped bearish — trend reversal,Paper
INDUSTOWER,2026-07-29,381.6,26,9921.6,2026-08-10,386.0,114.4,1.15,12,Both lines flipped bearish — trend reversal,Paper
OFSS,2026-07-03,10986.0,1,10986.0,2026-08-11,11890.0,904.0,8.23,39,Both lines flipped bearish — trend reversal,Paper
