Symbol,EntryDate,EntryPrice,Quantity,TrackType
SONACOMS,2026-06-23,621.0,16,Paper
BAJFINANCE,2026-06-24,962.4,10,Paper
BANKINDIA,2026-06-24,144.51,69,Paper
BLUESTARCO,2026-06-24,1661.9,6,Paper
DIVISLAB,2026-06-24,6747.0,1,Paper
HINDUNILVR,2026-06-24,2160.1,4,Paper
KOTAKBANK,2026-06-24,401.65,24,Paper
MANKIND,2026-06-24,2528.6,3,Paper
MARUTI,2026-06-24,13451.0,1,Paper
MAXHEALTH,2026-06-24,1078.05,9,Paper
NESTLEIND,2026-06-24,1392.2,7,Paper
PIIND,2026-06-24,2767.0,3,Paper
RECLTD,2026-06-24,361.9,27,Paper
ICICIBANK,2026-06-25,1373.6,7,Paper
POWERGRID,2026-06-25,290.9,34,Paper
PFC,2026-06-25,437.1,22,Paper
CHOLAFIN,2026-06-25,1792.9,5,Paper
AUBANK,2026-06-25,1067.2,9,Paper
GODREJCP,2026-06-25,1020.5,9,Paper
PHOENIXLTD,2026-06-25,1912.3,5,Paper
LICHSGFIN,2026-06-25,550.55,18,Paper
ITC,2026-06-26,290.0,34,Paper
MOTHERSON,2026-06-26,151.71,65,Paper
MFSL,2026-06-26,1611.4,6,Paper
BRITANNIA,2026-06-29,5237.0,1,Paper
MCX,2026-06-30,2914.5,3,Paper
BEL,2026-06-30,411.6,24,Paper
NYKAA,2026-06-30,302.05,33,Paper
BAJAJHLDNG,2026-06-30,10592.0,1,Paper
MARICO,2026-06-30,839.95,11,Paper
JSWENERGY,2026-06-30,586.25,17,Paper
HDFCBANK,2026-07-01,797.95,12,Paper
HAL,2026-07-01,4381.2,2,Paper
UNITDSPR,2026-07-01,1350.4,7,Paper
MOTILALOFS,2026-07-01,951.3,10,Paper
DABUR,2026-07-02,444.75,22,Paper
